Participant ID,Timestamp,Global Time (seconds),Note
1029,2025-12-04 13:15:33.344,157,"Participant starts session on light green chair, but stands to begin walking around the room and taking pictures and videos."
1029,2025-12-04 13:18:12.048,316,"Participant notes that device keeps taking the picture before she’s even finished the sentence."
1029,2025-12-04 13:21:30.986,515,"Participant notes that she had a bit of eye strain after the morning session. At this time states that it was due to the bright overhead lights. When she is sitting in the dark green chair or on grey couch, the lifts feel very strong. Feels like the light reflects off the glasses a little bit. Would not have noticed the eye strain if it was not for the glasses. Emphasizes that the eye strain is from the interaction of lights with glasses, not from the glasses themselves."
1029,2025-12-04 13:39:35.985,1600,"When asked to describe experience at this point, participant states “frustrating”. Having trouble prompting meta to take photos."
1029,2025-12-04 13:44:01.247,1865,"Participant moved to grey couch."
1029,2025-12-04 13:56:01.061,2585,"Participant is pacing around the room while completing scavenger hunt because she is tired."
1029,2025-12-04 13:59:06.652,2770,"Participant returned to grey couch, eating an orange snack to help wake up. Still asking scavenger hunt questions."
1029,2025-12-04 14:17:30.815,3875,"Participant switched to dark green chair."
1029,2025-12-04 14:38:30.869,5135,"Participant notes that this version of Meta doesn’t correct her grammar when sending a voice message."
1029,2025-12-04 14:49:47.812,5812,"Participant has moved to the light green chair."
1029,2025-12-04 15:00:45.068,6469,"Participant moved to grey couch."
