Participant ID,Moderator Initials,Device Type,Session Type,Study Day,Daily Session,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
1060,RO,AI Glasses & Neural Band,Watching,4,1,misc,2025-11-20 11:53:52.282,560,600,-40,2,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,eyestrain,2025-11-20 11:53:57.664,565,600,-35,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,misc,2025-11-20 12:04:01.404,1169,1200,-31,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,eyestrain,2025-11-20 12:04:05.152,1173,1200,-27,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,misc,2025-11-20 12:14:01.418,1769,1800,-31,2,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,discomfort,2025-11-20 12:14:07.863,1776,1800,-24,2,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,eyestrain,2025-11-20 12:14:11.493,1779,1800,-21,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,misc,2025-11-20 12:23:56.381,2364,2400,-36,2,"Phone screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,eyestrain,2025-11-20 12:23:59.504,2367,2400,-33,3,"Phone screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,misc,2025-11-20 12:33:54.616,2962,3000,-38,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,eyestrain,2025-11-20 12:33:57.650,2965,3000,-35,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,misc,2025-11-20 12:43:57.008,3565,3600,-35,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,discomfort,2025-11-20 12:43:58.741,3566,3600,-34,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,eyestrain,2025-11-20 12:44:05.040,3573,3600,-27,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,misc,2025-11-20 12:53:57.328,4165,4200,-35,4,"Phone screen",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,eyestrain,2025-11-20 12:54:03.914,4172,4200,-28,4,"Phone screen",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,misc,2025-11-20 13:03:56.815,4765,4800,-35,4,"Phone screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,eyestrain,2025-11-20 13:04:00.719,4768,4800,-32,4,"Phone screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,misc,2025-11-20 13:13:56.482,5364,5400,-36,4,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,discomfort,2025-11-20 13:14:02.411,5370,5400,-30,3,"Glasses screen, Real world, busy/mixed backdrop",false
1060,RO,AI Glasses & Neural Band,Watching,4,1,eyestrain,2025-11-20 13:14:06.419,5374,5400,-26,3,"Glasses screen, Real world, busy/mixed backdrop",false
