Participant ID,Timestamp,Global Time (seconds),Note
2001,2025-11-06 09:43:26.351,631,"Video taken with glasses has to be less than 15 seconds to send"
2001,2025-11-06 09:45:43.971,769,"Tried to send pic and it failed"
2001,2025-11-06 09:47:51.512,896,"Sending failed"
2001,2025-11-06 09:49:17.305,982,"Delay in sending the message- older messages coming though now picture"
2001,2025-11-06 09:49:28.251,993,"Video has come through"
2001,2025-11-06 09:50:06.123,1031,"All images now showing up gallery in Meta app"
2001,2025-11-06 09:56:43.310,1428,"Did not get most recent message on what’s app"
2001,2025-11-06 10:02:07.443,1752,"Pictures not coming through to phone in what’s app from glasses- sending failed please connect Bluetooth"
2001,2025-11-06 10:04:18.429,1883,"Lag on messaging- now they are starting to come through"
2001,2025-11-06 10:08:31.171,2136,"Struggling with math equation problems- square roots"
2001,2025-11-06 10:10:39.144,2264,"Meta stuck on thinking- participant has to keep saying “hey Meta”"
2001,2025-11-06 10:10:56.287,2281,"“I think I broke Meta”"
2001,2025-11-06 10:24:50.506,3115,"Was able to find nearby movie theaters and general showtimes"
2001,2025-11-06 10:39:26.563,3991,"After it times out it will not read the message to you. It directs you to the phone to view"
2001,2025-11-06 10:53:36.422,4841,"Pause for bathroom break…."
2001,2025-11-06 10:57:03.616,5048,"Back from break"
2001,2025-11-06 11:06:43.106,5628,"Both Google Maps and Apple Maps are not installed on the phone and unable to install them initially"
2001,2025-11-06 11:10:07.981,5833,"Meta struggling to provide how long it will take to walk to an identified coffee shop"
2001,2025-11-06 11:11:00.555,5885,"Asking for participant to state current location"
2001,2025-11-06 11:16:59.233,6244,"Is not using current location and will not provide data about how long it will take to get somewhere from current location"
2001,2025-11-06 11:25:05.105,6730,"Glasses disconnected mid conversation"
2001,2025-11-06 11:25:29.138,6754,"Glasses keep shutting off"
