Participant ID,Timestamp,Global Time (seconds),Note
2001,2025-11-04 12:22:38.134,964,"Massive delay in media loading onto MR screen"
2001,2025-11-04 12:25:15.808,1122,"Participant notices a slight rainbow glare and wonders if it’s because they are viewing screen mostly with 1 eye"
2001,2025-11-04 12:29:35.543,1382,"Participant feels that mental fatigue will likely occur for them by end of session as screen primarily located on one side of MR glasses promotes a highly specific focal point"
2001,2025-11-04 12:30:41.665,1448,"Participant notes that load time of videos is problematic, no option to pause or replay"
2001,2025-11-04 12:36:52.377,1819,"Display dimensions are extra noticeable to the eye in comparison to a phone’s rectangular display with the MR glasses visually compressing contents on screen"
2001,2025-11-04 12:41:46.659,2113,"Participant notices that they can mentally process videos more effortlessly likely due to accompanying audio compared to image instructions from Lego set task"
2001,2025-11-04 12:49:44.320,2591,"When participant looks directly toward a light source with MR glasses display off, they notice a significant rainbow glare effect in the divots of the glass"
2001,2025-11-04 13:03:47.124,3433,"Participant could not engage in nightly reading habits after participating in study during the day — felt that eyes were strained"
2001,2025-11-04 13:25:19.135,4725,"Participant feeling a slight headache in temples"
2001,2025-11-04 13:26:26.930,4793,"Participant is also experiencing increased awareness of the weight of glasses on nose bridge"
2001,2025-11-04 13:59:18.326,6765,"Videos take far too long to load on glasses, per participant"
2001,2025-11-04 14:00:10.059,6816,"Some hand gestures are not matching expected responses, for example scrolling left or right"
