Participant ID,Timestamp,Global Time (seconds),Note
3,2025-10-29T17:50:03.121Z,220,"Participant folded her arms not the glasses .” Confusing instructions”"
3,2025-10-29T17:52:26.232Z,363,"“I already did this”. On button is unclear and where they exist- “now I gotta try again”"
3,2025-10-29T17:54:06.859Z,463,"“I don’t know what is happening” p is struggling with knowing if the device is turned on"
3,2025-10-29T17:56:12.197Z,589,"I feel as if I am following the instructions and it’s not paired and instructed to unpair and now I have to start over"
3,2025-10-29T17:57:51.153Z,688,"Participant is frustrated that they cannot get it to work and sync"
3,2025-10-29T17:58:46.949Z,743,"Keeps telling them to unpair the device which is frustrating"
3,2025-10-29T18:02:32.092Z,969,"Factory reset is not working"
3,2025-10-29T18:08:40.523Z,1337,"Exponent researcher had to step in"
3,2025-10-29T18:09:46.703Z,1403,"Thinks they have to cross their arms"
3,2025-10-29T18:10:04.695Z,1421,"Is prompted to unpair device"
